"timestamp","N","dummy","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","total_sentiment","total_posneg","prop_anger","prop_anticipation","prop_disgust","prop_fear","prop_joy","prop_sadness","prop_surprise","prop_trust","prop_negative","prop_positive","total_tariff","total_trade"
2010-06-04 18:00:00,1,1,0,2,0,1,0,0,0,1,0,1,4,1,0,0.5,0,0.25,0,0,0,0.25,0,1,0,0
2010-06-05 23:00:00,1,1,0,0,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,1,0,1,0,1
2010-06-08 18:00:00,1,1,2,1,2,1,2,2,2,0,1,5,12,6,0.166666666666667,0.0833333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,0.833333333333333,0,0
2010-06-09 13:00:00,2,1,0,0,2,0,1,2,1,0,0,3,6,3,0,0,0.333333333333333,0,0.166666666666667,0.333333333333333,0.166666666666667,0,0,1,0,0
2010-06-10 16:00:00,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2010-06-15 13:00:00,2,1,0,0,0,1,0,0,2,0,0,1,3,1,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0,1,0,0
2010-06-17 14:00:00,2,1,0,4,0,0,1,2,1,2,0,1,10,1,0,0.4,0,0,0.1,0.2,0.1,0.2,0,1,0,0
2010-06-21 13:00:00,1,1,1,2,1,1,1,0,1,1,1,3,8,4,0.125,0.25,0.125,0.125,0.125,0,0.125,0.125,0.25,0.75,0,0
2010-06-21 15:00:00,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2010-06-22 16:00:00,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0
2010-06-24 18:00:00,1,1,0,0,0,1,0,1,1,1,0,1,4,1,0,0,0,0.25,0,0.25,0.25,0.25,0,1,0,0
2010-06-28 14:00:00,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-07-01 14:00:00,1,1,0,2,0,0,0,0,1,0,0,0,3,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0,0,0,0,0
2010-07-02 13:00:00,1,1,0,1,0,0,3,0,2,2,0,3,8,3,0,0.125,0,0,0.375,0,0.25,0.25,0,1,0,0
2010-07-02 15:00:00,1,1,1,0,0,0,0,0,0,1,1,1,2,2,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0,0
2010-07-06 14:00:00,1,1,0,1,0,0,0,1,0,1,1,0,3,1,0,0.333333333333333,0,0,0,0.333333333333333,0,0.333333333333333,1,0,0,0
2010-07-14 16:00:00,1,1,0,0,0,0,1,1,0,1,1,1,3,2,0,0,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0.5,0.5,0,0
2010-07-19 20:00:00,2,1,0,0,0,2,1,0,2,0,0,1,5,1,0,0,0,0.4,0.2,0,0.4,0,0,1,0,0
2010-07-19 21:00:00,1,1,0,1,0,1,0,0,2,0,0,0,4,0,0,0.25,0,0.25,0,0,0.5,0,0,0,0,0
2010-07-20 15:00:00,1,1,1,4,1,0,4,0,3,5,1,5,18,6,0.0555555555555556,0.222222222222222,0.0555555555555556,0,0.222222222222222,0,0.166666666666667,0.277777777777778,0.166666666666667,0.833333333333333,0,0
2010-07-29 21:00:00,3,1,0,0,0,1,0,0,2,1,0,0,4,0,0,0,0,0.25,0,0,0.5,0.25,0,0,0,0
2010-07-30 15:00:00,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2010-08-04 14:00:00,2,1,0,0,1,0,0,0,0,0,1,1,1,2,0,0,1,0,0,0,0,0,0.5,0.5,0,0
2010-08-09 13:00:00,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2010-08-12 14:00:00,1,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0
2010-08-12 20:00:00,5,1,0,2,0,1,4,0,3,6,1,4,16,5,0,0.125,0,0.0625,0.25,0,0.1875,0.375,0.2,0.8,0,0
2010-08-19 18:00:00,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
2010-08-19 19:00:00,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-08-23 13:00:00,1,1,0,1,0,1,0,0,0,0,0,1,2,1,0,0.5,0,0.5,0,0,0,0,0,1,0,0
2010-08-24 14:00:00,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-08-26 20:00:00,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2010-08-30 19:00:00,1,1,0,0,0,0,1,0,1,0,1,1,2,2,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0
2010-08-31 20:00:00,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2010-09-01 21:00:00,1,1,0,0,0,0,0,1,0,1,1,0,2,1,0,0,0,0,0,0.5,0,0.5,1,0,0,0
2010-09-02 16:00:00,2,1,0,1,0,1,0,0,3,0,0,1,5,1,0,0.2,0,0.2,0,0,0.6,0,0,1,0,0
2010-09-07 16:00:00,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0
2010-09-07 18:00:00,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
2010-09-09 16:00:00,1,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0
2010-09-14 20:00:00,1,1,0,3,0,0,2,1,1,2,1,3,9,4,0,0.333333333333333,0,0,0.222222222222222,0.111111111111111,0.111111111111111,0.222222222222222,0.25,0.75,0,0
2010-09-15 13:00:00,1,1,0,1,0,0,2,0,1,1,0,4,5,4,0,0.2,0,0,0.4,0,0.2,0.2,0,1,0,0
2010-09-16 15:00:00,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
2010-09-17 18:00:00,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2010-09-23 18:00:00,1,1,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,1,0.5,0.5,0,0
2010-09-24 20:00:00,1,1,1,0,0,0,0,0,0,1,0,0,2,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0
